Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price_perf,Change_perf,Volume_perf,SCORE
UNIT,Uniti Group Inc,Real Estate,REIT - Specialty,USA,1990000000.0,1.64,8.32,0.10640000000000001,7768747.0,0.1243,0.2023,0.42469999999999997,-0.0571,0.1869,-0.060700000000000004,-20.25%,-60.72%,-73.52%,0.0524,0.051500000000000004,2520000.0,3.08,8.32,0.10640000000000001,7768747.0,90
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,2980000000.0,,43.61,0.10210000000000001,12000992.0,0.22089999999999999,0.2107,0.2291,0.9068999999999999,0.251,0.6437999999999999,1882.27%,298.26%,213.97%,0.1438,0.11,5200000.0,2.31,43.61,0.10210000000000001,12000992.0,89
LAND,Gladstone Land Corp,Real Estate,REIT - Specialty,USA,415530000.0,,11.15,0.068,1721959.0,0.159,0.2266,0.22390000000000002,0.212,0.2186,0.034300000000000004,-42.76%,-34.14%,49.87%,0.0441,0.0265,552730.0,3.12,11.15,0.068,1721959.0,87
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,3770000000.0,33.97,58.12,0.0629,2545039.0,0.1659,0.4458,0.3779,0.9144,0.4733,2.3249,401.47%,73.56%,-,0.0681,0.0605,1360000.0,1.87,58.12,0.0629,2545039.0,85
DNTH,Dianthus Therapeutics Inc,Healthcare,Biotechnology,USA,2290000000.0,,53.39,0.0006,2827517.0,0.0203,0.3035,0.5787,1.5830000000000002,0.2956,1.5594,574.12%,-61.60%,-,0.0555,0.0705,737440.0,3.83,53.39,0.0006,2827517.0,85
BKD,Brookdale Senior Living Inc,Healthcare,Medical Care Facilities,USA,3560000000.0,,15.0,0.0345,7811193.0,0.1583,0.39409999999999995,0.6759999999999999,0.9355,0.39020000000000005,2.1915,431.91%,193.54%,-3.54%,0.0487,0.037599999999999995,3980000.0,1.96,15.0,0.0345,7811193.0,83
MOD,Modine Manufacturing Co,Consumer Cyclical,Auto Parts,USA,9720000000.0,53.38,184.66,0.0449,2945838.0,0.26489999999999997,0.3663,0.1894,0.37229999999999996,0.3831,0.8803,721.08%,1262.80%,2732.21%,0.061399999999999996,0.0622,1280000.0,2.31,184.66,0.0449,2945838.0,82
TARA,Protara Therapeutics Inc,Healthcare,Biotechnology,USA,365550000.0,,7.08,0.011399999999999999,1047438.0,0.1438,0.3486,0.3615,1.2838999999999998,0.3283,0.5664,118.80%,-63.69%,-98.13%,0.08259999999999999,0.0782,981870.0,1.07,7.08,0.011399999999999999,1047438.0,82
SB,"Safe Bulkers, Inc",Industrials,Marine Shipping,Monaco,584300000.0,15.67,5.71,0.016,920111.0,0.0653,0.19210000000000002,0.2359,0.45289999999999997,0.18460000000000001,0.595,81.27%,230.06%,1235.99%,0.0298,0.0269,521909.99999999994,1.76,5.71,0.016,920111.0,80
GOLD,Gold.com Inc,Financial,Capital Markets,USA,1280000000.0,176.84,51.85,-0.031400000000000004,1132747.0,0.2027,0.5501,0.9118999999999999,1.4365999999999999,0.5228,0.9147,35.57%,309.06%,623.29%,0.09390000000000001,0.057800000000000004,593650.0,1.91,51.85,-0.031400000000000004,1132747.0,80
